NAME,DATA,DEVICE,PUBLISHED AT
temperatureF,77.707397,sanaz,"April 28, 2021 at 06:51PM"
temperatureF,77.885597,sanaz,"April 28, 2021 at 06:52PM"
temperatureF,77.707397,sanaz,"April 28, 2021 at 06:53PM"
temperatureF,78.182602,sanaz,"April 28, 2021 at 06:54PM"
temperatureF,76.816399,sanaz,"April 28, 2021 at 06:55PM"
temperatureF,76.638199,sanaz,"April 28, 2021 at 06:56PM"
temperatureF,77.291595,sanaz,"April 28, 2021 at 06:57PM"
temperatureF,77.648003,sanaz,"April 28, 2021 at 06:58PM"
temperatureF,76.638199,sanaz,"April 28, 2021 at 06:59PM"
temperatureF,76.044197,sanaz,"April 28, 2021 at 07:00PM"
temperatureF,76.994598,sanaz,"April 28, 2021 at 07:01PM"
temperatureF,76.816399,sanaz,"April 28, 2021 at 07:02PM"
temperatureF,77.469803,sanaz,"April 28, 2021 at 07:03PM"
temperatureF,77.529198,sanaz,"April 28, 2021 at 07:04PM"
temperatureF,76.875801,sanaz,"April 28, 2021 at 07:05PM"
temperatureF,77.113403,sanaz,"April 28, 2021 at 07:06PM"
temperatureF,77.469803,sanaz,"April 28, 2021 at 07:07PM"
temperatureF,76.697601,sanaz,"April 28, 2021 at 07:08PM"
temperatureF,75.9254,sanaz,"April 28, 2021 at 07:09PM"
temperatureF,75.984802,sanaz,"April 28, 2021 at 07:10PM"
temperatureF,76.994598,sanaz,"April 28, 2021 at 07:11PM"
temperatureF,76.697601,sanaz,"April 28, 2021 at 07:12PM"
temperatureF,75.212601,sanaz,"April 28, 2021 at 07:13PM"
temperatureF,74.915596,sanaz,"April 28, 2021 at 07:14PM"
temperatureF,76.994598,sanaz,"April 28, 2021 at 07:15PM"
temperatureF,77.232201,sanaz,"April 28, 2021 at 07:16PM"
temperatureF,77.113403,sanaz,"April 28, 2021 at 07:17PM"
temperatureF,77.054001,sanaz,"April 28, 2021 at 07:18PM"
temperatureF,76.935196,sanaz,"April 28, 2021 at 07:19PM"
temperatureF,75.509598,sanaz,"April 28, 2021 at 07:20PM"
temperatureF,76.697601,sanaz,"April 28, 2021 at 07:21PM"
temperatureF,77.291595,sanaz,"April 28, 2021 at 07:22PM"
temperatureF,76.697601,sanaz,"April 28, 2021 at 07:23PM"
temperatureF,76.222404,sanaz,"April 28, 2021 at 07:24PM"
temperatureF,76.222404,sanaz,"April 28, 2021 at 07:25PM"
temperatureF,76.875801,sanaz,"April 28, 2021 at 07:26PM"
temperatureF,77.113403,sanaz,"April 28, 2021 at 07:27PM"
temperatureF,76.400597,sanaz,"April 28, 2021 at 07:28PM"
temperatureF,76.756996,sanaz,"April 28, 2021 at 07:29PM"
temperatureF,77.172798,sanaz,"April 28, 2021 at 07:30PM"
temperatureF,75.9254,sanaz,"April 28, 2021 at 07:31PM"
temperatureF,76.459999,sanaz,"April 28, 2021 at 07:32PM"
temperatureF,77.172798,sanaz,"April 28, 2021 at 07:33PM"
temperatureF,75.212601,sanaz,"April 28, 2021 at 07:34PM"
temperatureF,77.826202,sanaz,"April 28, 2021 at 07:35PM"
temperatureF,77.054001,sanaz,"April 28, 2021 at 07:36PM"
temperatureF,77.054001,sanaz,"April 28, 2021 at 07:37PM"
temperatureF,78.479599,sanaz,"April 28, 2021 at 07:38PM"
temperatureF,78.895401,sanaz,"April 28, 2021 at 07:39PM"
temperatureF,79.132996,sanaz,"April 28, 2021 at 07:40PM"
temperatureF,78.598404,sanaz,"April 28, 2021 at 07:41PM"
temperatureF,79.845802,sanaz,"April 28, 2021 at 07:42PM"
temperatureF,78.835999,sanaz,"April 28, 2021 at 07:43PM"
temperatureF,79.370598,sanaz,"April 28, 2021 at 07:44PM"
temperatureF,79.9646,sanaz,"April 28, 2021 at 07:45PM"
temperatureF,79.6082,sanaz,"April 28, 2021 at 07:46PM"
temperatureF,78.479599,sanaz,"April 28, 2021 at 07:47PM"
temperatureF,79.489403,sanaz,"April 28, 2021 at 07:48PM"
temperatureF,78.717194,sanaz,"April 28, 2021 at 07:49PM"
temperatureF,79.489403,sanaz,"April 28, 2021 at 07:50PM"
temperatureF,79.43,sanaz,"April 28, 2021 at 07:51PM"
temperatureF,78.598404,sanaz,"April 28, 2021 at 07:52PM"
temperatureF,78.598404,sanaz,"April 28, 2021 at 07:53PM"
temperatureF,78.301399,sanaz,"April 28, 2021 at 07:54PM"
temperatureF,77.826202,sanaz,"April 28, 2021 at 07:55PM"
temperatureF,78.776596,sanaz,"April 28, 2021 at 07:56PM"
temperatureF,77.469803,sanaz,"April 28, 2021 at 07:57PM"
temperatureF,74.796799,sanaz,"April 28, 2021 at 07:58PM"
temperatureF,76.816399,sanaz,"April 28, 2021 at 07:59PM"
temperatureF,77.113403,sanaz,"April 28, 2021 at 08:00PM"
